Genome_ID,SRA_Accession,amikacin,amoxicillin,bedaquiline,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic acid,prothionamide,pyrazinamide,rifabutin,rifampin,streptomycin
1773.38247,ERS5320018,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,S
1773.38278,ERS5320062,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,R,NA,NA,NA,NA,S,R
1773.38315,ERS5320105,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3839,ERS5320195,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.38505,ERS5320324,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.3906,ERS6402789,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39154,ERS6402903,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3921,ERS6402965,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39211,ERS6402966,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39216,ERS6402970,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39232,ERS6402991,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.39312,ERS6403084,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.39398,ERS6403177,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,S
1773.40047,ERS6421597,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40079,ERS6421634,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40133,ERS6421692,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40442,ERS6422127,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40584,ERR3323725,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40767,ERS5281324,S,NA,S,S,NA,S,NA,S,S,S,S,S,R,S,S,S,S,NA,NA,S,R,R
1773.40889,ERS5281431,S,NA,S,S,NA,S,NA,S,S,R,S,S,R,S,S,S,S,NA,NA,S,S,R
1773.41486,ERS5282144,S,NA,S,S,NA,S,NA,S,S,S,S,S,S,S,S,S,S,NA,NA,S,S,S
1773.41637,ERS5282309,S,NA,S,S,NA,S,NA,R,S,S,S,S,R,S,S,S,S,NA,NA,S,R,R
1773.42477,ERS5283203,S,NA,S,S,NA,S,NA,R,R,R,R,S,R,S,R,S,R,NA,NA,R,R,R
1773.42584,ERS5283316,S,NA,S,S,NA,S,NA,S,S,S,R,S,S,S,S,S,R,NA,NA,R,R,R
1773.42586,ERS5283315,S,NA,S,S,NA,S,NA,S,S,R,S,S,R,S,S,S,S,NA,NA,S,S,R
1773.42601,ERS5283326,S,NA,S,S,NA,R,NA,R,S,R,R,S,R,S,S,S,S,NA,NA,R,R,R
1773.42677,ERR7361947,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.42702,ERR7361971,R,NA,NA,R,NA,NA,NA,NA,S,NA,R,R,NA,NA,NA,S,NA,NA,NA,NA,R,S
1773.18311,ERR1035297,R,NA,NA,S,NA,NA,NA,NA,S,NA,R,R,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.20167,ERR221596,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,S,NA,S,S
1773.23364,ERR1654674,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.23415,ERR2120269,S,NA,NA,R,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,S,NA,S,S
1773.23424,ERR2120278,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3273,ERS5281841,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.32961,ERS5282127,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.34433,ERS5300687,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.34587,ERS5300866,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35739,ERS5303111,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.36551,ERS5312459,R,NA,NA,R,NA,NA,NA,NA,R,NA,R,R,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.37623,ERS5318975,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.38223,ERS5320014,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.38244,ERS5320024,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.38323,ERS5320109,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.38332,ERS5320119,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39285,ERS6403054,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,S
1773.39675,ERS6403509,R,NA,NA,R,NA,NA,NA,NA,S,NA,R,R,NA,NA,NA,S,NA,NA,NA,NA,R,S
1773.39798,ERS6403637,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.422,ERS5282905,S,NA,S,S,NA,S,NA,S,S,R,S,S,S,S,S,S,S,NA,NA,S,S,S
1773.42506,ERS5283232,S,NA,S,S,NA,S,NA,S,S,R,S,S,R,S,S,S,S,NA,NA,S,S,R
1773.42569,ERS5283296,S,NA,S,S,NA,S,NA,S,S,S,S,S,S,S,S,S,S,NA,NA,S,S,S
1773.42819,SRR7782648,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
